Attribute_Name,Code_Value,Code Description,Entity Type_Name,
0BS_TRANSACTION_TYPE,I,"Insert sample new to SDWIS/FED
",SAMPLE_SUMMARY_RESULT,
0BS_TRANSACTION_TYPE,M,"Modify sample already existing in SDWIS/FED
",SAMPLE_SUMMARY_RESULT,
ACTIVE_INDICATOR_CODE,A,"Active
",WATER_SYSTEM_FACILITY_CONTACT,
ACTIVE_INDICATOR_CODE,A,"Active
",WATER_SYS_LEGAL_ENTITY_CONTACT,
ACTIVE_INDICATOR_CODE,A,"Active
",LAB_LEGAL_ENTITY_ASGMT,
ACTIVE_INDICATOR_CODE,A,"Active
",PROGRAM_LEGAL_ENTITY_CONTACT,
ACTIVE_INDICATOR_CODE,A,"Active
",PROJECT_LEGAL_ENTITY_CONTACT,
ACTIVE_INDICATOR_CODE,A,"Active
",REGULATING_AGENCY_ASGMT,
ACTIVE_INDICATOR_CODE,I,"Inactive
",WATER_SYSTEM_FACILITY_CONTACT,
ACTIVE_INDICATOR_CODE,I,"Inactive
",WATER_SYS_LEGAL_ENTITY_CONTACT,
ACTIVE_INDICATOR_CODE,I,"Inactive
",LAB_LEGAL_ENTITY_ASGMT,
ACTIVE_INDICATOR_CODE,I,"Inactive
",PROGRAM_LEGAL_ENTITY_CONTACT,
ACTIVE_INDICATOR_CODE,I,"Inactive
",PROJECT_LEGAL_ENTITY_CONTACT,
ACTIVE_INDICATOR_CODE,I,"Inactive
",REGULATING_AGENCY_ASGMT,
ACTIVITY_STATUS_CODE,A,"Active
",WATER_SYSTEM_FACILITY_HISTORY,
ACTIVITY_STATUS_CODE,A,"Active refers to a water system that is producing water on a regular basis (obtaining, treating, pumping, storing, or distributing).

",WATER_SYSTEM,
ACTIVITY_STATUS_CODE,A,"Active refers to a sampling point where sampling is occurring on a regular basis.

",SAMPLING_POINT_HISTORY,
ACTIVITY_STATUS_CODE,A,"Active
",WSF_DELETIONS,
ACTIVITY_STATUS_CODE,A,"Active
",WATER_SYSTEM_FACILITY,
ACTIVITY_STATUS_CODE,A,"Active refers to a sampling point where sampling is occurring on a regular basis.

",SAMPLING_POINT,
ACTIVITY_STATUS_CODE,A,"Active refers to a water system that is producing water on a regular basis (obtaining, treating, pumping, storing, or distributing).

",WATER_SYSTEM_HISTORY,
ACTIVITY_STATUS_CODE,D,"Deleted
",WATER_SYSTEM,
ACTIVITY_STATUS_CODE,D,"Deleted
",WATER_SYSTEM_HISTORY,
ACTIVITY_STATUS_CODE,I,"Inactive
",WATER_SYSTEM_FACILITY_HISTORY,
ACTIVITY_STATUS_CODE,I,"Inactive refers to a water system that is not an Active water system.  Such systems have discontinued operation.  A water system that has closed permanently is an obvious example of a system that would be an Inactive system.

A water system that has closed temporarily, but for a substantial period of time, could be designated as Inactive by the State, but not necessarily so.  This decision depends upon State specific policy regarding such systems.

",WATER_SYSTEM,
ACTIVITY_STATUS_CODE,I,"Inactive sampling point.  Refers to a samplig point that has discontinued operation or has closed temporarily, but for a substantial period of time.  This decision depends upon State specific policy regarding such systems.

",SAMPLING_POINT_HISTORY,
ACTIVITY_STATUS_CODE,I,"Inactive
",WSF_DELETIONS,
ACTIVITY_STATUS_CODE,I,"Inactive
",WATER_SYSTEM_FACILITY,
ACTIVITY_STATUS_CODE,I,"Inactive sampling point.  Refers to a samplig point that has discontinued operation or has closed temporarily, but for a substantial period of time.  This decision depends upon State specific policy regarding such systems.

",SAMPLING_POINT,
ACTIVITY_STATUS_CODE,I,"Inactive refers to a water system that is not an Active water system.  Such systems have discontinued operation.  A water system that has closed permanently is an obvious example of a system that would be an Inactive system.

A water system that has closed temporarily, but for a substantial period of time, could be designated as Inactive by the State, but not necessarily so.  This decision depends upon State specific policy regarding such systems.

",WATER_SYSTEM_HISTORY,
ACTIVITY_STATUS_CODE,M,"Merged refers to a water system that has been merged with another water system.  
",WATER_SYSTEM,
ACTIVITY_STATUS_CODE,M,"Merged refers to a water system that has been merged with another water system.  
",WATER_SYSTEM_HISTORY,
ACTIVITY_STATUS_CODE,P,"Proposed
",WATER_SYSTEM_FACILITY_HISTORY,
ACTIVITY_STATUS_CODE,P,"Refers to a proposed sampling point.
",SAMPLING_POINT_HISTORY,
ACTIVITY_STATUS_CODE,P,"Proposed refers to a water system that is considered a potential future water system to be regulated.
",WATER_SYSTEM,
ACTIVITY_STATUS_CODE,P,"Proposed
",WSF_DELETIONS,
ACTIVITY_STATUS_CODE,P,"Proposed
",WATER_SYSTEM_FACILITY,
ACTIVITY_STATUS_CODE,P,"Refers to a proposed sampling point.
",SAMPLING_POINT,
ACTIVITY_STATUS_CODE,P,"Proposed refers to a water system that is considered a potential future water system to be regulated.
",WATER_SYSTEM_HISTORY,
ANALYSIS_RESULT_UOM_CODE,%LUM,"Percent of luminance--(for measuring color)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,%PUR,"Percent of purity--(for measuring color)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,ADMIU,"American Dye Manufacturers Institute units -- (for measuring color)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,AGGR,"Aggressive Index (for Corrosivity)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,C,"Degrees Celsius
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,CM-1,"Total absorbance for ultraviolet light (a disinfectant)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,COL/100ML,"Colonies per 100/ML
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,CT,"Contact Time (a disinfectant)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,CU,"Color Units (for color)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,F,"Degrees Fahrenheit
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,FTU,"Flavor Threshold Units (FTU) (for measuring Taste and Odor)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,L/MG-CM,"Liter per Milligram-Centimeter
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,L/MG-M,"Liter per Milligram-Meter
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,LANG,"Langelier Index (for measuring Corrosivity)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,LBS/CFT,"Pounds per cubic foot (for measuring density)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,LBS/GAL,"Pounds per gallon (for measuring density)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,MFL,"Millions of fibers per liter (MFL) (for measuring asbestos)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,MG/L,"Milligrams per liter; AKA Parts Per Million (ppm).  Also a measure of disinfectant concentration.
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,MREM,"Millirems
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,MREMY,"Millirems per year
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,NG/L,"Nanograms per liter; AKA Parts per trillion (ppt)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,NM,"Nanometers -- to measure color wave length
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,NTU,"Nephlometric Turbidity Units
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,OBSVNS,"Observations/field at 100 power
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,PCI/L,"Picocuries per liter
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,PH,"pH units (Parts Hydrogen - pH (0 - 14))
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,RATIO,"Ratio
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,SU,"Standard Units (for Color)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,TON,"Threshold Odor Number (for odor)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,UG/L,"Micrograms per liter; AKA Parts per Billion (ppb)
",VIOLATION,
ANALYSIS_RESULT_UOM_CODE,UMHO/CM,"Measurement unit for measuring Conductivity
",VIOLATION,
ANALYTE_TYPE_CODE,GC,"Group Contaminant
",CDS_SAMPLE_RESULT,
ANALYTE_TYPE_CODE,IOC,"Inorganic Chemical
",CDS_SAMPLE_RESULT,
ANALYTE_TYPE_CODE,MOR,"Microbiological Organism
",CDS_SAMPLE_RESULT,
ANALYTE_TYPE_CODE,OC,"Organic Chemical
",CDS_SAMPLE_RESULT,
ANALYTE_TYPE_CODE,OT,"Other
",CDS_SAMPLE_RESULT,
ANALYTE_TYPE_CODE,RA,"Radionuclide
",CDS_SAMPLE_RESULT,
ANALYTE_TYPE_CODE,RL,"Rule based 
",CDS_SAMPLE_RESULT,
ANALYTE_TYPE_CODE,WQ,"Water Quality
",CDS_SAMPLE_RESULT,
ASSAY_UOM_CODE,100ML,"100 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
ASSAY_UOM_CODE,10ML,"10 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
ASSAY_UOM_CODE,1ML,"1 milliliter
",MICROBIAL_ANALYTICAL_RESULT,
ASSAY_UOM_CODE,300ML,"300 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
ASSAY_UOM_CODE,400ML,"400 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
ASSAY_UOM_CODE,500ML,"500 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
ASSAY_UOM_CODE,5ML,"5 milliliters
",MICROBIAL_ANALYTICAL_RESULT,
ASSAY_UOM_CODE,SAMP VOL,"Sample Volume
",MICROBIAL_ANALYTICAL_RESULT,
ASSAY_UOM_CODE,SLIDE,"Slide
",MICROBIAL_ANALYTICAL_RESULT,
AVAILABILITY_CODE,E,"Emergency Utilization
",WATER_SYSTEM_FACILITY_HISTORY,
AVAILABILITY_CODE,E,"Emergency Utilization
",WSF_DELETIONS,
AVAILABILITY_CODE,E,"Emergency Utilization
",WATER_SYSTEM_FACILITY,
AVAILABILITY_CODE,I,"Interim (eg. Peak) Utilization
",WATER_SYSTEM_FACILITY_HISTORY,
AVAILABILITY_CODE,I,"Interim (eg. Peak) Utilization
",WSF_DELETIONS,
AVAILABILITY_CODE,I,"Interim (eg. Peak) Utilization
",WATER_SYSTEM_FACILITY,
AVAILABILITY_CODE,O,"Other Utilization
",WATER_SYSTEM_FACILITY_HISTORY,
AVAILABILITY_CODE,O,"Other Utilization
",WSF_DELETIONS,
AVAILABILITY_CODE,O,"Other Utilization
",WATER_SYSTEM_FACILITY,
AVAILABILITY_CODE,P,"Permanent Utilization
",WATER_SYSTEM_FACILITY_HISTORY,
AVAILABILITY_CODE,P,"Permanent Utilization
",WSF_DELETIONS,
AVAILABILITY_CODE,P,"Permanent Utilization
",WATER_SYSTEM_FACILITY,
AVAILABILITY_CODE,S,"Seasonal Utilization
",WATER_SYSTEM_FACILITY_HISTORY,
AVAILABILITY_CODE,S,"Seasonal Utilization
",WSF_DELETIONS,
AVAILABILITY_CODE,S,"Seasonal Utilization
",WATER_SYSTEM_FACILITY,
AVERAGE_DURATION_TYPE_CODE,10Y,"Every 10 years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,18M,"Every 18 Months
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,1T,"one time
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,2M,"Every 2 Months
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,2W,"Every 2 Weeks
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,2Y,"Every 2 years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,3Y,"Every 3 Years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,4H,"every 4 Hours
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,4Y,"Every 4 Years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,5Y,"Every 5 years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,6M,"every 6 Months
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,6Y,"Every 6 years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,7Y,"Every 7 years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,8Y,"Every 8 years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,9Y,"Every 9 Years
",MCL_VALUE,
AVERAGE_DURATION_TYPE_CODE,DL,"Daily
",MCL_VALUE,
